Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QA","Élevage","2","Afghanistan","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","14170","Im","Données de la FAO basées sur une méthodologie d'imputation"
"QA","Élevage","202","Afrique du Sud","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","172396","Im","Données de la FAO basées sur une méthodologie d'imputation"
"QA","Élevage","3","Albanie","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","7272","","Donnée officielle"
"QA","Élevage","4","Algérie","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","137393","Im","Données de la FAO basées sur une méthodologie d'imputation"
"QA","Élevage","7","Angola","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","37402","Im","Données de la FAO basées sur une méthodologie d'imputation"
"QA","Élevage","8","Antigua-et-Barbuda","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","160","Im","Données de la FAO basées sur une méthodologie d'imputation"
"QA","Élevage","194","Arabie saoudite","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","193746","Im","Données de la FAO basées sur une méthodologie d'imputation"
"QA","Élevage","9","Argentine","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","113600","","Donnée officielle"
"QA","Élevage","1","Arménie","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","4406","","Donnée officielle"
"QA","Élevage","10","Australie","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","99784","","Donnée officielle"
"QA","Élevage","52","Azerbaïdjan","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","30498","","Donnée officielle"
"QA","Élevage","12","Bahamas","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","3036","Im","Données de la FAO basées sur une méthodologie d'imputation"
"QA","Élevage","13","Bahreïn","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","9739","","Donnée officielle"
"QA","Élevage","16","Bangladesh","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","282145","","Donnée officielle"
"QA","Élevage","14","Barbade","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","4135","Im","Données de la FAO basées sur une méthodologie d'imputation"
"QA","Élevage","57","Bélarus","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","45675","Im","Données de la FAO basées sur une méthodologie d'imputation"
"QA","Élevage","255","Belgique","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","32327","","Donnée officielle"
"QA","Élevage","23","Belize","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","1632","Im","Données de la FAO basées sur une méthodologie d'imputation"
"QA","Élevage","53","Bénin","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","21304","","Donnée officielle"
"QA","Élevage","18","Bhoutan","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","1145","","Donnée officielle"
"QA","Élevage","19","Bolivie (État plurinational de)","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","224931","Im","Données de la FAO basées sur une méthodologie d'imputation"
"QA","Élevage","80","Bosnie-Herzégovine","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","16229","","Donnée officielle"
"QA","Élevage","20","Botswana","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","571","Im","Données de la FAO basées sur une méthodologie d'imputation"
"QA","Élevage","21","Brésil","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","1465616","","Donnée officielle"
"QA","Élevage","26","Brunéi Darussalam","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","18397","","Donnée officielle"
"QA","Élevage","27","Bulgarie","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","18830","","Donnée officielle"
"QA","Élevage","233","Burkina Faso","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","37988","","Donnée officielle"
"QA","Élevage","29","Burundi","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","2850","F","Estimation FAO"
"QA","Élevage","35","Cabo Verde","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","1000","F","Estimation FAO"
"QA","Élevage","115","Cambodge","5112","Réserves","1057","Poulets","2018","2018","1000 têtes","13200","F","Estimation FAO"
