Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TP","Cultures et produits animaux","2","Afghanistan","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","41811","","Donnée officielle"
"TP","Cultures et produits animaux","2","Afghanistan","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","23913","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","317585","","Donnée officielle"
"TP","Cultures et produits animaux","202","Afrique du Sud","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","487157","","Donnée officielle"
"TP","Cultures et produits animaux","3","Albanie","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","21314","","Donnée officielle"
"TP","Cultures et produits animaux","3","Albanie","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","11588","","Donnée officielle"
"TP","Cultures et produits animaux","4","Algérie","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","27","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","79","Allemagne","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","402178","","Donnée officielle"
"TP","Cultures et produits animaux","79","Allemagne","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","496552","","Donnée officielle"
"TP","Cultures et produits animaux","7","Angola","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","220538","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","7","Angola","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","322678","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","8","Antigua-et-Barbuda","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","5878","","Donnée officielle"
"TP","Cultures et produits animaux","8","Antigua-et-Barbuda","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","5944","","Donnée officielle"
"TP","Cultures et produits animaux","194","Arabie saoudite","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","843509","","Donnée officielle"
"TP","Cultures et produits animaux","194","Arabie saoudite","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","621589","","Donnée officielle"
"TP","Cultures et produits animaux","9","Argentine","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","666","","Donnée officielle"
"TP","Cultures et produits animaux","9","Argentine","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","6624","","Donnée officielle"
"TP","Cultures et produits animaux","1","Arménie","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","31780","","Donnée officielle"
"TP","Cultures et produits animaux","1","Arménie","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","32212","","Donnée officielle"
"TP","Cultures et produits animaux","10","Australie","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","7654","*","Chiffre non officiel"
"TP","Cultures et produits animaux","10","Australie","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","5137","*","Chiffre non officiel"
"TP","Cultures et produits animaux","11","Autriche","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","42609","","Donnée officielle"
"TP","Cultures et produits animaux","11","Autriche","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","47127","","Donnée officielle"
"TP","Cultures et produits animaux","52","Azerbaïdjan","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","16374","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","52","Azerbaïdjan","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","28239","","Donnée officielle"
"TP","Cultures et produits animaux","12","Bahamas","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","8343","","Donnée officielle"
"TP","Cultures et produits animaux","12","Bahamas","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","19536","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","13","Bahreïn","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","46684","","Donnée officielle"
"TP","Cultures et produits animaux","13","Bahreïn","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","54725","","Donnée officielle"
"TP","Cultures et produits animaux","16","Bangladesh","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","19","","Donnée officielle"
"TP","Cultures et produits animaux","16","Bangladesh","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","221","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","14","Barbade","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","122","","Donnée officielle"
"TP","Cultures et produits animaux","14","Barbade","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","911","","Donnée officielle"
"TP","Cultures et produits animaux","57","Bélarus","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","16580","","Donnée officielle"
"TP","Cultures et produits animaux","57","Bélarus","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","7027","","Donnée officielle"
"TP","Cultures et produits animaux","255","Belgique","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","175631","","Donnée officielle"
"TP","Cultures et produits animaux","255","Belgique","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","208579","","Donnée officielle"
"TP","Cultures et produits animaux","23","Belize","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","3","*","Chiffre non officiel"
"TP","Cultures et produits animaux","23","Belize","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","15","","Donnée officielle"
"TP","Cultures et produits animaux","53","Bénin","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","125294","","Donnée officielle"
"TP","Cultures et produits animaux","53","Bénin","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","75324","","Donnée officielle"
"TP","Cultures et produits animaux","18","Bhoutan","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","401","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","18","Bhoutan","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","1482","R","Données estimées en utilisant les données des pays partenaires"
